week_start,url,status_indexation,impressions,clicks,ctr_percent,avg_position,main_query,query_intent,notes,next_action
2026-07-28,https://allostef.fr/chauffagiste-pontoise,,,,,,,,,
2026-07-28,https://allostef.fr/chauffagiste-compiegne,,,,,,,,,
2026-07-28,https://allostef.fr/electricien-meru,,,,,,,,,
2026-07-28,https://allostef.fr/electricien-beauvais,,,,,,,,,
2026-07-28,https://allostef.fr/electricien-cergy,,,,,,,,,
2026-07-28,https://allostef.fr/electricien-pontoise,,,,,,,,,
2026-07-28,https://allostef.fr/electricien-compiegne,,,,,,,,,
2026-07-28,https://allostef.fr/chauffagiste-meru,,,,,,,,,
2026-07-28,https://allostef.fr/chauffagiste-beauvais,,,,,,,,,
2026-07-28,https://allostef.fr/chauffagiste-cergy,,,,,,,,,
2026-07-28,https://allostef.fr/plombier-meru,,,,,,,,,
2026-07-28,https://allostef.fr/plombier-beauvais,,,,,,,,,
2026-07-28,https://allostef.fr/plombier-compiegne,,,,,,,,,
2026-07-28,https://allostef.fr/plombier-cergy,,,,,,,,,
2026-07-28,https://allostef.fr/plombier-pontoise,,,,,,,,,
